# mem-diff: /tmp/w3-mem-before-e3.snap -> /tmp/w3-mem-after-e3.snap
# 131 regions in before, 131 in after
REGION_ONLY_IN_BEFORE addr=0x100508000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10050c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10051c000 size=32768
REGION_ONLY_IN_BEFORE addr=0x100554000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100558000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10055c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100560000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100564000 size=32768
DIFF addr=0x10056c274 len=1 region=0x10056c000+628 prot=0x705 before=03 after=00
DIFF addr=0x10056c280 len=1 region=0x10056c000+640 prot=0x705 before=06 after=00
DIFF addr=0x10056c284 len=1 region=0x10056c000+644 prot=0x705 before=12 after=00
DIFF addr=0x10056c290 len=5 region=0x10056c000+656 prot=0x705 before=5f5f676f74 after=0000000000
DIFF addr=0x10056c2a0 len=12 region=0x10056c000+672 prot=0x705 before=5f5f444154415f434f4e5354 after=000000000000000000000000
DIFF addr=0x10056c2b0 len=2 region=0x10056c000+688 prot=0x705 before=9040 after=0000
DIFF addr=0x10056c2b8 len=1 region=0x10056c000+696 prot=0x705 before=10 after=00
DIFF addr=0x10056c2c0 len=2 region=0x10056c000+704 prot=0x705 before=9040 after=0000
DIFF addr=0x10056c2c4 len=1 region=0x10056c000+708 prot=0x705 before=03 after=00
DIFF addr=0x10056c2d0 len=1 region=0x10056c000+720 prot=0x705 before=06 after=00
DIFF addr=0x10056c2d4 len=1 region=0x10056c000+724 prot=0x705 before=24 after=00
DIFF addr=0x10056c2e0 len=1 region=0x10056c000+736 prot=0x705 before=19 after=00
DIFF addr=0x10056c2e4 len=1 region=0x10056c000+740 prot=0x705 before=98 after=00
DIFF addr=0x10056c2e8 len=12 region=0x10056c000+744 prot=0x705 before=5f5f415554485f434f4e5354 after=000000000000000000000000
DIFF addr=0x10056c2f9 len=1 region=0x10056c000+761 prot=0x705 before=80 after=00
DIFF addr=0x10056c301 len=1 region=0x10056c000+769 prot=0x705 before=40 after=00
DIFF addr=0x10056c309 len=1 region=0x10056c000+777 prot=0x705 before=80 after=00
DIFF addr=0x10056c311 len=1 region=0x10056c000+785 prot=0x705 before=40 after=00
DIFF addr=0x10056c318 len=1 region=0x10056c000+792 prot=0x705 before=03 after=00
DIFF addr=0x10056c31c len=1 region=0x10056c000+796 prot=0x705 before=03 after=00
DIFF addr=0x10056c320 len=1 region=0x10056c000+800 prot=0x705 before=01 after=00
DIFF addr=0x10056c328 len=11 region=0x10056c000+808 prot=0x705 before=5f5f696e746572706f7365 after=0000000000000000000000
DIFF addr=0x10056c338 len=12 region=0x10056c000+824 prot=0x705 before=5f5f415554485f434f4e5354 after=000000000000000000000000
DIFF addr=0x10056c349 len=1 region=0x10056c000+841 prot=0x705 before=80 after=00
DIFF addr=0x10056c350 len=1 region=0x10056c000+848 prot=0x705 before=40 after=00
DIFF addr=0x10056c359 len=1 region=0x10056c000+857 prot=0x705 before=80 after=00
DIFF addr=0x10056c35c len=1 region=0x10056c000+860 prot=0x705 before=03 after=00
DIFF addr=0x10056c378 len=1 region=0x10056c000+888 prot=0x705 before=19 after=00
DIFF addr=0x10056c37c len=1 region=0x10056c000+892 prot=0x705 before=e8 after=00
DIFF addr=0x10056c380 len=6 region=0x10056c000+896 prot=0x705 before=5f5f44415441 after=000000000000
DIFF addr=0x10056c391 len=1 region=0x10056c000+913 prot=0x705 before=c0 after=00
DIFF addr=0x10056c399 len=1 region=0x10056c000+921 prot=0x705 before=40 after=00
DIFF addr=0x10056c3a1 len=1 region=0x10056c000+929 prot=0x705 before=c0 after=00
DIFF addr=0x10056c3a9 len=1 region=0x10056c000+937 prot=0x705 before=40 after=00
DIFF addr=0x10056c3b0 len=1 region=0x10056c000+944 prot=0x705 before=03 after=00
DIFF addr=0x10056c3b4 len=1 region=0x10056c000+948 prot=0x705 before=03 after=00
DIFF addr=0x10056c3b8 len=1 region=0x10056c000+952 prot=0x705 before=02 after=00
DIFF addr=0x10056c3c0 len=6 region=0x10056c000+960 prot=0x705 before=5f5f64617461 after=000000000000
DIFF addr=0x10056c3d0 len=6 region=0x10056c000+976 prot=0x705 before=5f5f44415441 after=000000000000
DIFF addr=0x10056c3e1 len=1 region=0x10056c000+993 prot=0x705 before=c0 after=00
DIFF addr=0x10056c3e8 len=1 region=0x10056c000+1000 prot=0x705 before=50 after=00
DIFF addr=0x10056c3f1 len=1 region=0x10056c000+1009 prot=0x705 before=c0 after=00
DIFF addr=0x10056c3f4 len=1 region=0x10056c000+1012 prot=0x705 before=03 after=00
DIFF addr=0x10056c410 len=5 region=0x10056c000+1040 prot=0x705 before=5f5f627373 after=0000000000
DIFF addr=0x10056c420 len=6 region=0x10056c000+1056 prot=0x705 before=5f5f44415441 after=000000000000
DIFF addr=0x10056c430 len=2 region=0x10056c000+1072 prot=0x705 before=50c0 after=0000
DIFF addr=0x10056c438 len=1 region=0x10056c000+1080 prot=0x705 before=08 after=00
DIFF addr=0x10056c444 len=1 region=0x10056c000+1092 prot=0x705 before=03 after=00
DIFF addr=0x10056c450 len=1 region=0x10056c000+1104 prot=0x705 before=01 after=00
DIFF addr=0x10056c460 len=1 region=0x10056c000+1120 prot=0x705 before=19 after=00
DIFF addr=0x10056c464 len=1 region=0x10056c000+1124 prot=0x705 before=48 after=00
