# mem-diff: /tmp/w3-mem-before-e6.snap -> /tmp/w3-mem-after-e6.snap
# 130 regions in before, 132 in after
REGION_ONLY_IN_BEFORE addr=0x1049c4000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049c8000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049d8000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a10000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a14000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a18000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a1c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a20000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a28000 size=16384
DIFF addr=0x104a2c14e len=2 region=0x104a2c000+334 prot=0x301 before=0000 after=1214
DIFF addr=0x104a2c152 len=2 region=0x104a2c000+338 prot=0x301 before=0000 after=12bf
DIFF addr=0x104a2c156 len=2 region=0x104a2c000+342 prot=0x301 before=0000 after=1339
DIFF addr=0x104a2c15e len=2 region=0x104a2c000+350 prot=0x301 before=0000 after=1344
DIFF addr=0x104a2c162 len=2 region=0x104a2c000+354 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c166 len=2 region=0x104a2c000+358 prot=0x301 before=0000 after=140c
DIFF addr=0x104a2c16e len=2 region=0x104a2c000+366 prot=0x301 before=0000 after=140f
DIFF addr=0x104a2c173 len=1 region=0x104a2c000+371 prot=0x301 before=00 after=0c
DIFF addr=0x104a2c177 len=1 region=0x104a2c000+375 prot=0x301 before=00 after=74
DIFF addr=0x104a2c17f len=1 region=0x104a2c000+383 prot=0x301 before=00 after=79
DIFF addr=0x104a2c182 len=2 region=0x104a2c000+386 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c186 len=2 region=0x104a2c000+390 prot=0x301 before=0000 after=09f0
DIFF addr=0x104a2c18b len=1 region=0x104a2c000+395 prot=0x301 before=00 after=01
DIFF addr=0x104a2c18f len=1 region=0x104a2c000+399 prot=0x301 before=00 after=01
DIFF addr=0x104a2c192 len=2 region=0x104a2c000+402 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c196 len=2 region=0x104a2c000+406 prot=0x301 before=0000 after=09f5
DIFF addr=0x104a2c19e len=2 region=0x104a2c000+414 prot=0x301 before=0000 after=09fa
DIFF addr=0x104a2c1a2 len=2 region=0x104a2c000+418 prot=0x301 before=0000 after=0ac1
DIFF addr=0x104a2c1a6 len=2 region=0x104a2c000+422 prot=0x301 before=0000 after=0b68
DIFF addr=0x104a2c1ab len=1 region=0x104a2c000+427 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1ae len=1 region=0x104a2c000+430 prot=0x301 before=00 after=03
DIFF addr=0x104a2c1b2 len=2 region=0x104a2c000+434 prot=0x301 before=0000 after=0ac1
DIFF addr=0x104a2c1b6 len=2 region=0x104a2c000+438 prot=0x301 before=0000 after=0b6d
DIFF addr=0x104a2c1bb len=1 region=0x104a2c000+443 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1bf len=1 region=0x104a2c000+447 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1c2 len=2 region=0x104a2c000+450 prot=0x301 before=0000 after=0b72
DIFF addr=0x104a2c1c6 len=2 region=0x104a2c000+454 prot=0x301 before=0000 after=0c05
DIFF addr=0x104a2c1ce len=2 region=0x104a2c000+462 prot=0x301 before=0000 after=0c0a
DIFF addr=0x104a2c1d2 len=2 region=0x104a2c000+466 prot=0x301 before=0000 after=0c10
DIFF addr=0x104a2c1d6 len=2 region=0x104a2c000+470 prot=0x301 before=0000 after=0ca3
DIFF addr=0x104a2c1db len=1 region=0x104a2c000+475 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1de len=1 region=0x104a2c000+478 prot=0x301 before=00 after=03
DIFF addr=0x104a2c1e2 len=2 region=0x104a2c000+482 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c1e6 len=2 region=0x104a2c000+486 prot=0x301 before=0000 after=0da2
DIFF addr=0x104a2c1eb len=1 region=0x104a2c000+491 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1ee len=2 region=0x104a2c000+494 prot=0x301 before=0000 after=01ff
DIFF addr=0x104a2c1f2 len=2 region=0x104a2c000+498 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c1f6 len=2 region=0x104a2c000+502 prot=0x301 before=0000 after=0da7
DIFF addr=0x104a2c1fb len=1 region=0x104a2c000+507 prot=0x301 before=00 after=01
DIFF addr=0x104a2c1ff len=1 region=0x104a2c000+511 prot=0x301 before=00 after=0f
DIFF addr=0x104a2c202 len=2 region=0x104a2c000+514 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c206 len=2 region=0x104a2c000+518 prot=0x301 before=0000 after=0dac
DIFF addr=0x104a2c20b len=1 region=0x104a2c000+523 prot=0x301 before=00 after=01
DIFF addr=0x104a2c20e len=1 region=0x104a2c000+526 prot=0x301 before=00 after=03
DIFF addr=0x104a2c212 len=2 region=0x104a2c000+530 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c216 len=2 region=0x104a2c000+534 prot=0x301 before=0000 after=0db1
DIFF addr=0x104a2c21b len=1 region=0x104a2c000+539 prot=0x301 before=00 after=01
DIFF addr=0x104a2c21f len=1 region=0x104a2c000+543 prot=0x301 before=00 after=07
DIFF addr=0x104a2c222 len=2 region=0x104a2c000+546 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c226 len=2 region=0x104a2c000+550 prot=0x301 before=0000 after=0db6
DIFF addr=0x104a2c22b len=1 region=0x104a2c000+555 prot=0x301 before=00 after=01
DIFF addr=0x104a2c22e len=1 region=0x104a2c000+558 prot=0x301 before=00 after=04
DIFF addr=0x104a2c232 len=2 region=0x104a2c000+562 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c236 len=2 region=0x104a2c000+566 prot=0x301 before=0000 after=0dbb
DIFF addr=0x104a2c23e len=2 region=0x104a2c000+574 prot=0x301 before=0000 after=0dc0
DIFF addr=0x104a2c242 len=2 region=0x104a2c000+578 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c246 len=2 region=0x104a2c000+582 prot=0x301 before=0000 after=0ddd
DIFF addr=0x104a2c24b len=1 region=0x104a2c000+587 prot=0x301 before=00 after=01
DIFF addr=0x104a2c24f len=1 region=0x104a2c000+591 prot=0x301 before=00 after=7f
DIFF addr=0x104a2c252 len=2 region=0x104a2c000+594 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c256 len=2 region=0x104a2c000+598 prot=0x301 before=0000 after=0de2
DIFF addr=0x104a2c25b len=1 region=0x104a2c000+603 prot=0x301 before=00 after=01
DIFF addr=0x104a2c25f len=1 region=0x104a2c000+607 prot=0x301 before=00 after=01
DIFF addr=0x104a2c262 len=2 region=0x104a2c000+610 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c266 len=2 region=0x104a2c000+614 prot=0x301 before=0000 after=0de7
DIFF addr=0x104a2c26b len=1 region=0x104a2c000+619 prot=0x301 before=00 after=01
DIFF addr=0x104a2c26f len=1 region=0x104a2c000+623 prot=0x301 before=00 after=05
DIFF addr=0x104a2c272 len=2 region=0x104a2c000+626 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c276 len=2 region=0x104a2c000+630 prot=0x301 before=0000 after=0dec
DIFF addr=0x104a2c27b len=1 region=0x104a2c000+635 prot=0x301 before=00 after=01
DIFF addr=0x104a2c27f len=1 region=0x104a2c000+639 prot=0x301 before=00 after=01
DIFF addr=0x104a2c282 len=2 region=0x104a2c000+642 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c286 len=2 region=0x104a2c000+646 prot=0x301 before=0000 after=0df1
DIFF addr=0x104a2c28b len=1 region=0x104a2c000+651 prot=0x301 before=00 after=01
DIFF addr=0x104a2c28e len=2 region=0x104a2c000+654 prot=0x301 before=0000 after=0152
DIFF addr=0x104a2c292 len=2 region=0x104a2c000+658 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c296 len=2 region=0x104a2c000+662 prot=0x301 before=0000 after=0df6
DIFF addr=0x104a2c29b len=1 region=0x104a2c000+667 prot=0x301 before=00 after=01
DIFF addr=0x104a2c29f len=1 region=0x104a2c000+671 prot=0x301 before=00 after=06
DIFF addr=0x104a2c2a2 len=2 region=0x104a2c000+674 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c2a6 len=2 region=0x104a2c000+678 prot=0x301 before=0000 after=0dfb
DIFF addr=0x104a2c2ae len=1 region=0x104a2c000+686 prot=0x301 before=00 after=0e
DIFF addr=0x104a2c2b2 len=2 region=0x104a2c000+690 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c2b6 len=2 region=0x104a2c000+694 prot=0x301 before=0000 after=0e1a
DIFF addr=0x104a2c2be len=1 region=0x104a2c000+702 prot=0x301 before=00 after=0e
DIFF addr=0x104a2c2c2 len=2 region=0x104a2c000+706 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c2c6 len=2 region=0x104a2c000+710 prot=0x301 before=0000 after=0e1f
DIFF addr=0x104a2c2cb len=1 region=0x104a2c000+715 prot=0x301 before=00 after=01
DIFF addr=0x104a2c2cf len=1 region=0x104a2c000+719 prot=0x301 before=00 after=01
DIFF addr=0x104a2c2d2 len=2 region=0x104a2c000+722 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c2d6 len=2 region=0x104a2c000+726 prot=0x301 before=0000 after=0e24
DIFF addr=0x104a2c2db len=4 region=0x104a2c000+731 prot=0x301 before=00000000 after=01075780
DIFF addr=0x104a2c2e2 len=2 region=0x104a2c000+738 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c2e6 len=2 region=0x104a2c000+742 prot=0x301 before=0000 after=0e29
DIFF addr=0x104a2c2eb len=1 region=0x104a2c000+747 prot=0x301 before=00 after=01
DIFF addr=0x104a2c2ef len=1 region=0x104a2c000+751 prot=0x301 before=00 after=3f
DIFF addr=0x104a2c2f2 len=2 region=0x104a2c000+754 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c2f6 len=2 region=0x104a2c000+758 prot=0x301 before=0000 after=0e2e
DIFF addr=0x104a2c2fb len=1 region=0x104a2c000+763 prot=0x301 before=00 after=01
DIFF addr=0x104a2c2ff len=1 region=0x104a2c000+767 prot=0x301 before=00 after=01
DIFF addr=0x104a2c302 len=2 region=0x104a2c000+770 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c306 len=2 region=0x104a2c000+774 prot=0x301 before=0000 after=0e33
DIFF addr=0x104a2c30e len=2 region=0x104a2c000+782 prot=0x301 before=0000 after=0e38
DIFF addr=0x104a2c312 len=2 region=0x104a2c000+786 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c316 len=2 region=0x104a2c000+790 prot=0x301 before=0000 after=0e46
DIFF addr=0x104a2c31b len=1 region=0x104a2c000+795 prot=0x301 before=00 after=01
DIFF addr=0x104a2c31f len=1 region=0x104a2c000+799 prot=0x301 before=00 after=09
DIFF addr=0x104a2c322 len=2 region=0x104a2c000+802 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c326 len=2 region=0x104a2c000+806 prot=0x301 before=0000 after=0e4b
DIFF addr=0x104a2c32b len=1 region=0x104a2c000+811 prot=0x301 before=00 after=01
DIFF addr=0x104a2c32f len=1 region=0x104a2c000+815 prot=0x301 before=00 after=01
DIFF addr=0x104a2c332 len=2 region=0x104a2c000+818 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c336 len=2 region=0x104a2c000+822 prot=0x301 before=0000 after=0e50
DIFF addr=0x104a2c33b len=1 region=0x104a2c000+827 prot=0x301 before=00 after=01
DIFF addr=0x104a2c342 len=2 region=0x104a2c000+834 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c346 len=2 region=0x104a2c000+838 prot=0x301 before=0000 after=0e55
DIFF addr=0x104a2c34b len=1 region=0x104a2c000+843 prot=0x301 before=00 after=01
DIFF addr=0x104a2c34e len=2 region=0x104a2c000+846 prot=0x301 before=0000 after=0240
DIFF addr=0x104a2c352 len=2 region=0x104a2c000+850 prot=0x301 before=0000 after=0d1b
DIFF addr=0x104a2c356 len=2 region=0x104a2c000+854 prot=0x301 before=0000 after=0e5a
DIFF addr=0x104a2c35b len=1 region=0x104a2c000+859 prot=0x301 before=00 after=01
DIFF addr=0x104a2c35f len=1 region=0x104a2c000+863 prot=0x301 before=00 after=03
DIFF addr=0x104a2c362 len=2 region=0x104a2c000+866 prot=0x301 before=0000 after=0e97
DIFF addr=0x104a2c366 len=2 region=0x104a2c000+870 prot=0x301 before=0000 after=0f0a
DIFF addr=0x104a2c36b len=1 region=0x104a2c000+875 prot=0x301 before=00 after=01
DIFF addr=0x104a2c36f len=1 region=0x104a2c000+879 prot=0x301 before=00 after=01
DIFF addr=0x104a2c372 len=2 region=0x104a2c000+882 prot=0x301 before=0000 after=0e97
DIFF addr=0x104a2c376 len=2 region=0x104a2c000+886 prot=0x301 before=0000 after=0f0f
DIFF addr=0x104a2c37b len=1 region=0x104a2c000+891 prot=0x301 before=00 after=01
DIFF addr=0x104a2c37e len=2 region=0x104a2c000+894 prot=0x301 before=0000 after=0220
DIFF addr=0x104a2c382 len=2 region=0x104a2c000+898 prot=0x301 before=0000 after=0e97
DIFF addr=0x104a2c386 len=2 region=0x104a2c000+902 prot=0x301 before=0000 after=0f14
DIFF addr=0x104a2c38e len=2 region=0x104a2c000+910 prot=0x301 before=0000 after=0f19
DIFF addr=0x104a2c392 len=2 region=0x104a2c000+914 prot=0x301 before=0000 after=0f36
DIFF addr=0x104a2c396 len=2 region=0x104a2c000+918 prot=0x301 before=0000 after=0fa7
DIFF addr=0x104a2c39b len=1 region=0x104a2c000+923 prot=0x301 before=00 after=01
DIFF addr=0x104a2c39f len=1 region=0x104a2c000+927 prot=0x301 before=00 after=17
DIFF addr=0x104a2c3a2 len=2 region=0x104a2c000+930 prot=0x301 before=0000 after=1180
DIFF addr=0x104a2c3a6 len=2 region=0x104a2c000+934 prot=0x301 before=0000 after=122c
DIFF addr=0x104a2c3ab len=1 region=0x104a2c000+939 prot=0x301 before=00 after=01
DIFF addr=0x104a2c3af len=1 region=0x104a2c000+943 prot=0x301 before=00 after=03
DIFF addr=0x104a2c3b2 len=2 region=0x104a2c000+946 prot=0x301 before=0000 after=1231
DIFF addr=0x104a2c3b6 len=2 region=0x104a2c000+950 prot=0x301 before=0000 after=12b5
DIFF addr=0x104a2c3bb len=1 region=0x104a2c000+955 prot=0x301 before=00 after=01
DIFF addr=0x104a2c3bf len=1 region=0x104a2c000+959 prot=0x301 before=00 after=03
DIFF addr=0x104a2c3c2 len=2 region=0x104a2c000+962 prot=0x301 before=0000 after=1231
DIFF addr=0x104a2c3c6 len=2 region=0x104a2c000+966 prot=0x301 before=0000 after=12ba
DIFF addr=0x104a2c3cb len=1 region=0x104a2c000+971 prot=0x301 before=00 after=01
DIFF addr=0x104a2c3ce len=2 region=0x104a2c000+974 prot=0x301 before=0000 after=0450
DIFF addr=0x104a2c3d2 len=2 region=0x104a2c000+978 prot=0x301 before=0000 after=12bf
DIFF addr=0x104a2c3d6 len=2 region=0x104a2c000+982 prot=0x301 before=0000 after=1357
DIFF addr=0x104a2c3db len=1 region=0x104a2c000+987 prot=0x301 before=00 after=01
DIFF addr=0x104a2c3df len=1 region=0x104a2c000+991 prot=0x301 before=00 after=1f
